setting,Box-F1,mAP50,mAP50-95,Mask-F1
ft10_AdamW_feval.csv,0.995,0.995,0.909,0.994
ft10_SGD_feval.csv,0.993,0.995,0.871,0.992
ft11_AdamW_feval.csv,0.993,0.995,0.913,0.993
ft11_SGD_feval.csv,0.973,0.986,0.757,0.973
ft12b_AdamW_feval.csv,0.995,0.995,0.921,0.994
ft12b_SGD_feval.csv,0.963,0.968,0.637,0.964
ft12c_AdamW_feval.csv,0.995,0.995,0.912,0.995
ft12c_SGD_feval.csv,0.96,0.969,0.624,0.962
ft12_AdamW_feval.csv,0.995,0.995,0.91,0.994
ft12_SGD_feval.csv,0.987,0.992,0.829,0.985
ft20_AdamW_ariel.pt_feval.csv,0.985,0.993,0.828,0
ft20_AdamW_feval.csv,0.996,0.995,0.88,0.996
ft20_RMSProp_ariel.pt_feval.csv,0.916,0.949,0.546,0
ft20_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft20_SGD_ariel.pt_feval.csv,0.974,0.985,0.738,0
ft20_SGD_feval.csv,0.996,0.995,0.909,0.996
ft21fin_SGD_finloop.pt_feval.csv,0.973,0.984,0.77,0.972
ft21v8_SGD_feval.csv,0.995,0.995,0.914,0.995
ft21v8_SGD_yolov8l-seg.pt_feval.csv,0.99,0.994,0.898,0.989
ft21_AdamW_ariel.pt_feval.csv,0.98,0.991,0.809,0
ft21_AdamW_feval.csv,0.994,0.995,0.908,0.994
ft21_RMSProp_ariel.pt_feval.csv,0.926,0.963,0.574,0
ft21_RMSProp_feval.csv,0.002,0.047,0.016,0.001
ft21_SGD_ariel.pt_feval.csv,0.96,0.982,0.698,0
ft21_SGD_feval.csv,0.995,0.995,0.914,0.995
ft22_AdamW_ariel.pt_feval.csv,0.984,0.994,0.821,0
ft22_AdamW_feval.csv,0.996,0.995,0.889,0.996
ft22_RMSProp_ariel.pt_feval.csv,0.885,0.929,0.484,0
ft22_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft22_SGD_ariel.pt_feval.csv,0.969,0.988,0.736,0
ft22_SGD_feval.csv,0.997,0.995,0.912,0.997
ft23_AdamW_ariel.pt_feval.csv,0.978,0.989,0.772,0
ft23_AdamW_feval.csv,0.996,0.995,0.889,0.996
ft23_RMSProp_ariel.pt_feval.csv,0.886,0.93,0.52,0
ft23_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft23_SGD_ariel.pt_feval.csv,0.938,0.967,0.652,0
ft23_SGD_feval.csv,0.994,0.995,0.901,0.994
ft24_AdamW_ariel.pt_feval.csv,0.457,0.408,0.185,0
ft24_AdamW_feval.csv,0.997,0.995,0.924,0.997
ft24_RMSProp_ariel.pt_feval.csv,0.876,0.928,0.459,0
ft24_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft24_SGD_ariel.pt_feval.csv,0.67,0.656,0.265,0
ft24_SGD_feval.csv,0.973,0.989,0.753,0.971
ft25_AdamW_ariel.pt_feval.csv,0.478,0.419,0.217,0
ft25_AdamW_feval.csv,0.995,0.995,0.917,0.994
ft25_RMSProp_ariel.pt_feval.csv,0.776,0.829,0.362,0
ft25_RMSProp_feval.csv,0.007,0.932,0.602,0.007
