setting,Box-F1,mAP50,mAP50-95,Mask-F1
ft20_AdamW_ariel.pt_feval.csv,0.914,0.949,0.725,0
ft20_AdamW_feval.csv,0.832,0.878,0.671,0.826
ft20_RMSProp_ariel.pt_feval.csv,0.68,0.713,0.377,0
ft20_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft20_SGD_ariel.pt_feval.csv,0.899,0.927,0.666,0
ft20_SGD_feval.csv,0.927,0.958,0.782,0.909
ft21fin_SGD_finloop.pt_feval.csv,0.934,0.958,0.73,0.913
ft21v8_SGD_feval.csv,0.917,0.954,0.776,0.899
ft21v8_SGD_yolov8l-seg.pt_feval.csv,0.891,0.929,0.744,0.88
ft21_AdamW_ariel.pt_feval.csv,0.905,0.949,0.719,0
ft21_AdamW_feval.csv,0.851,0.891,0.703,0.844
ft21_RMSProp_ariel.pt_feval.csv,0.708,0.741,0.405,0
ft21_RMSProp_feval.csv,0.004,0.027,0.01,0.002
ft21_SGD_ariel.pt_feval.csv,0.891,0.921,0.644,0
ft21_SGD_feval.csv,0.917,0.954,0.776,0.899
ft22_AdamW_ariel.pt_feval.csv,0.915,0.947,0.724,0
ft22_AdamW_feval.csv,0.868,0.917,0.72,0.854
ft22_RMSProp_ariel.pt_feval.csv,0.664,0.683,0.339,0
ft22_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft22_SGD_ariel.pt_feval.csv,0.901,0.927,0.669,0
ft22_SGD_feval.csv,0.924,0.958,0.787,0.907
ft23_AdamW_ariel.pt_feval.csv,0.911,0.945,0.703,0
ft23_AdamW_feval.csv,0.878,0.928,0.735,0.865
ft23_RMSProp_ariel.pt_feval.csv,0.656,0.676,0.352,0
ft23_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft23_SGD_ariel.pt_feval.csv,0.878,0.909,0.616,0
ft23_SGD_feval.csv,0.904,0.941,0.755,0.885
ft24_AdamW_ariel.pt_feval.csv,0.673,0.741,0.468,0
ft24_AdamW_feval.csv,0.902,0.944,0.779,0.886
ft24_RMSProp_ariel.pt_feval.csv,0.678,0.723,0.361,0
ft24_RMSProp_feval.csv,0.0,0.0,0.0,0.0
ft24_SGD_ariel.pt_feval.csv,0.754,0.776,0.439,0
ft24_SGD_feval.csv,0.789,0.817,0.589,0.785
ft25_AdamW_ariel.pt_feval.csv,0.688,0.756,0.482,0
ft25_AdamW_feval.csv,0.925,0.962,0.796,0.907
ft25_RMSProp_ariel.pt_feval.csv,0.598,0.618,0.269,0
ft25_RMSProp_feval.csv,0.01,0.499,0.295,0.009
ft25_SGD_ariel.pt_feval.csv,0.77,0.79,0.446,0
ft25_SGD_feval.csv,0.804,0.831,0.595,0.788
ft26_AdamW_feval.csv,0.886,0.923,0.738,0.876
ft26_AdamW_finloop.pt_feval.csv,0.959,0.981,0.82,0.939
ft26_SGD_feval.csv,0.937,0.97,0.822,0.918
ft26_SGD_finloop.pt_feval.csv,0.952,0.968,0.771,0.925
ft27_AdamW_feval.csv,0.926,0.964,0.809,0.905
ft27_AdamW_finloop.pt_feval.csv,0.962,0.982,0.815,0.937
ft27_SGD_feval.csv,0.916,0.951,0.772,0.898
ft27_SGD_finloop.pt_feval.csv,0.933,0.955,0.721,0.913
ft28_AdamW_feval.csv,0.922,0.96,0.796,0.902
ft28_AdamW_finloop.pt_feval.csv,0.961,0.981,0.807,0.936
ft28_SGD_feval.csv,0.929,0.96,0.8,0.91
ft28_SGD_finloop.pt_feval.csv,0.942,0.962,0.746,0.918
